number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5202409988385598,2026-05-20 23:07:33.631131,2026-05-20 23:07:35.921482,0 days 00:00:02.290351,0.5780093202212182,0.2904180608409973,0.2536999076681772,9,2,325,2.1423021757741068,0.10129197956845731,0.7993292420985183,COMPLETE
1,0.5213917924893535,2026-05-20 23:07:35.921543,2026-05-20 23:07:42.138202,0 days 00:00:06.216659,0.6061695553391381,0.9170225492671691,0.010725209743171996,10,2,525,0.0033205591037519565,0.042051564509138675,0.9162213204002109,COMPLETE
2,0.5290166473093303,2026-05-20 23:07:42.138464,2026-05-20 23:07:44.876647,0 days 00:00:02.738183,0.6460723242676091,2.28034992108518,0.02692655251486473,8,4,359,0.8431013932082461,0.0009962513222055108,0.569746930326021,COMPLETE
3,0.5163395276809911,2026-05-20 23:07:44.876693,2026-05-20 23:07:47.092349,0 days 00:00:02.215656,0.5852620618436457,4.7444276862666666,0.07500118950416987,4,1,409,6.732248920775331,1.1015056790269626,0.8037724259507192,COMPLETE
4,0.5718583042973286,2026-05-20 23:07:47.092396,2026-05-20 23:07:50.076890,0 days 00:00:02.984494,0.5610191174223894,0.17194260557609198,0.013940346079873234,8,5,283,3.5204810455260365,0.0019674328025306126,0.7200762468698007,COMPLETE
5,0.5384010840108402,2026-05-20 23:07:50.076942,2026-05-20 23:07:52.786362,0 days 00:00:02.709420,0.5924272277627636,3.8756641168055728,0.028869220380495747,7,10,498,4.9830438374949075,2.9794544625913595,0.7733551396716398,COMPLETE
6,0.535110336817654,2026-05-20 23:07:52.786407,2026-05-20 23:07:55.590780,0 days 00:00:02.804373,0.522613644455269,1.9433864484474102,0.22999586428143728,4,4,459,0.002273762810253686,1.3921548533046495,0.5979914312095727,COMPLETE
7,0.5641995741385986,2026-05-20 23:07:55.590825,2026-05-20 23:07:57.598032,0 days 00:00:02.007207,0.9010984903770198,4.9344346830025865,0.026000059117302653,7,1,314,0.7264803074826727,0.0009853225172032562,0.5704621124873813,COMPLETE
8,0.5233739837398375,2026-05-20 23:07:57.598076,2026-05-20 23:07:57.769809,0 days 00:00:00.171733,0.8856351733429728,1.7923286427213632,0.1601531217136121,8,1,103,0.00037961668958008145,2.0678409397839492,0.8645035840204937,PRUNED
9,0.5632771970576849,2026-05-20 23:07:57.769844,2026-05-20 23:08:00.462272,0 days 00:00:02.692428,0.6625916610133735,3.1877873567760657,0.030816017044468066,4,8,474,2.7293781650374753,0.022965432344634346,0.6554911608578311,COMPLETE
10,0.5673780487804878,2026-05-20 23:08:00.462318,2026-05-20 23:08:06.877119,0 days 00:00:06.414801,0.7680942943488798,0.07563407956692322,0.010206070557577008,6,7,668,0.1168990811462345,0.00017256875961834048,0.6889757749826013,COMPLETE
11,0.5770363917924893,2026-05-20 23:08:06.877169,2026-05-20 23:08:13.592167,0 days 00:00:06.714998,0.7678121320177449,0.055108905097137055,0.010290509463842875,6,7,698,0.08808748655228463,0.00010567725368354979,0.6853126511318491,COMPLETE
12,0.5443766937669376,2026-05-20 23:08:13.592213,2026-05-20 23:08:14.058976,0 days 00:00:00.466763,0.7978094605208605,1.0507780511615645,0.016324514507051233,6,6,201,0.05730109466726675,0.00010370164218762938,0.9929294675046496,PRUNED
13,0.5446215640727836,2026-05-20 23:08:14.059007,2026-05-20 23:08:19.661332,0 days 00:00:05.602325,0.7084623041637503,0.9369102116944656,0.0655450028447037,6,9,698,0.24259683977710447,0.0035496549232303517,0.6931859171012763,COMPLETE
14,0.5547560975609755,2026-05-20 23:08:19.661380,2026-05-20 23:08:25.503054,0 days 00:00:05.841674,0.9972873580930841,0.18563220060518482,0.017064212348057745,5,5,580,0.009997778181293323,0.0006716743961444442,0.5044308254795329,COMPLETE
15,0.565269066976384,2026-05-20 23:08:25.503098,2026-05-20 23:08:28.002386,0 days 00:00:02.499288,0.8290888212566314,1.3841325994951479,0.016207090759206177,8,7,229,0.020050501470645143,0.008725492906077631,0.70007388015731,COMPLETE
16,0.5494579945799458,2026-05-20 23:08:28.002434,2026-05-20 23:08:28.322368,0 days 00:00:00.319934,0.5037122579533397,2.93423177105832,0.0413029744324308,10,5,186,0.0001368028458622924,0.0002977786909718833,0.6307880556622186,PRUNED
17,0.48712737127371275,2026-05-20 23:08:28.322395,2026-05-20 23:08:29.252530,0 days 00:00:00.930135,0.7152974178125097,0.7188807043912131,0.11399562229835324,9,7,593,0.2499480520677978,0.002406721684839942,0.7480805872343831,PRUNED
18,0.5077913279132791,2026-05-20 23:08:29.252557,2026-05-20 23:08:29.859668,0 days 00:00:00.607111,0.852907649111221,1.4424353223974025,0.013461675180075183,5,4,270,0.8838740763828238,0.00842078610744412,0.8578396281911189,PRUNED
