feature,importance
t2_temporal_nc_ratio,-0.040298507462686546
flair_temporal_nc_ratio,-0.040298507462686546
t1_temporal_nc_ratio,-0.03805970149253728
t2_global_ed_en_ratio,-0.03283582089552236
t1gd_global_ed_en_ratio,-0.03283582089552236
flair_global_ed_en_ratio,-0.03283582089552236
t1_global_ed_en_ratio,-0.03283582089552236
t1gd_temporal_nc_ratio,-0.02985074626865669
t1gd_parietal_nc_ratio,-0.023134328358208944
t2_parietal_nc_ratio,-0.023134328358208927
flair_parietal_nc_ratio,-0.023134328358208927
t1_parietal_nc_ratio,-0.02014925373134325
t1_parietal_ed_ratio,-0.01716417910447756
t1_temporal_en_ratio,-0.01417910447761191
t2_parietal_ed_ratio,-0.013432835820895462
flair_parietal_ed_ratio,-0.013432835820895462
t1gd_parietal_ed_ratio,-0.013432835820895462
t1_frontal_en_ratio,-0.012686567164179069
t2_frontal_en_ratio,-0.011940298507462649
t2_temporal_en_ratio,-0.011940298507462649
flair_temporal_en_ratio,-0.011940298507462649
flair_frontal_en_ratio,-0.011940298507462649
t1gd_frontal_en_ratio,-0.011940298507462649
t1gd_temporal_en_ratio,-0.008955223880596986
t1_frontal_nc_ratio,-0.005223880597014907
t2_frontal_nc_ratio,-0.005223880597014901
flair_frontal_nc_ratio,-0.005223880597014901
t1gd_frontal_nc_ratio,-0.005223880597014901
t2_parietal_en_ratio,-0.0037313432835820613
flair_parietal_en_ratio,-0.0037313432835820613
t2_global_ed_total_ratio,-0.0022388059701492435
t1_global_ed_total_ratio,-0.0022388059701492435
flair_global_ed_total_ratio,-0.0022388059701492435
flair_tumor_burden_index,-0.0022388059701492435
t1gd_tumor_burden_index,-0.0022388059701492435
t1gd_global_ed_total_ratio,-0.0022388059701492435
t2_tumor_burden_index,-0.0022388059701492435
t1_tumor_burden_index,-0.0022388059701492435
t1_parietal_en_ratio,-0.002238805970149227
t1gd_parietal_en_ratio,-0.002238805970149227
flair_global_nc_en_ratio,-0.0014925373134328124
t1gd_global_nc_en_ratio,-0.0014925373134328124
t1_global_nc_en_ratio,-0.0014925373134328124
t2_global_nc_en_ratio,-0.0014925373134328124
t1_temporal_ed_ratio,0.0
t1_frontal_ed_ratio,0.0
t2_occipital_nc_ratio,0.0
t2_temporal_ed_ratio,0.0
flair_temporal_ed_ratio,0.0
flair_occipital_nc_ratio,0.0
t1gd_occipital_nc_ratio,0.0
flair_frontal_ed_ratio,0.0
t2_frontal_ed_ratio,0.0
t1_occipital_nc_ratio,0.0
t1gd_frontal_ed_ratio,0.0
t1gd_temporal_ed_ratio,0.0
flair_occipital_ed_ratio,0.0014925373134328456
t1gd_occipital_ed_ratio,0.0014925373134328456
t1_occipital_ed_ratio,0.0014925373134328456
t2_occipital_ed_ratio,0.0014925373134328456
t1_occipital_en_ratio,0.007462686567164206
t2_occipital_en_ratio,0.024626865671641816
t1gd_occipital_en_ratio,0.024626865671641816
flair_occipital_en_ratio,0.024626865671641816
