,count,mean,std,min,25%,50%,75%,max
t1_global_nc_en_ratio,446.0,2.171480077692296,36.28587760400878,0.0,0.0939760685749274,0.3381509904930692,0.6398791832337388,766.6205357142857
t1_global_ed_en_ratio,446.0,13.066322092355492,69.77462488847297,0.0,1.3245607408947104,2.707677780157311,5.525543829853643,1188.9811320754718
t1_global_ed_total_ratio,446.0,0.6705566501833097,0.228214268957851,0.0016645985291002,0.5158550796918205,0.6859539084779183,0.8521084431632079,1.0
t1_tumor_burden_index,446.0,0.06177670252492942,0.037644752617645626,0.000699463408555,0.03101426116062095,0.05813284311968175,0.08534413551088141,0.1829909969420353
t1_frontal_ed_ratio,446.0,0.046777941080205006,0.05416507434975493,0.0,0.00741214888577915,0.02691792439750565,0.0657544998868453,0.2505330253776222
t1_frontal_en_ratio,446.0,0.013418590885025273,0.01955596117763347,0.0,0.00016273604451795,0.0052781636282036,0.01820367284140275,0.1092073443645157
t1_frontal_nc_ratio,446.0,0.008408088985368855,0.01873201238964543,0.0,0.0,0.0009619441051589,0.007895891247001425,0.2390883662518552
t1_temporal_ed_ratio,446.0,0.045875046446058755,0.055239034438937844,0.0,0.00348779311948375,0.02414619965734905,0.06877682834994607,0.3255079919830207
t1_temporal_en_ratio,446.0,0.014760444269171844,0.021899608788539925,0.0,0.0,0.00426978873039815,0.021521163703775527,0.1212229748270533
t1_temporal_nc_ratio,446.0,0.008209357561320347,0.016070063850538902,0.0,0.0,0.0002231933830298,0.0090329131503247,0.1270745006236411
t1_parietal_ed_ratio,446.0,0.03824607777524507,0.05526126435817433,0.0,0.00047607858724865,0.01348721194276775,0.053737397666467526,0.3169618190945572
t1_parietal_en_ratio,446.0,0.010557083992983067,0.019821972579521157,0.0,0.0,7.467646145205779e-05,0.013482051340740325,0.1150433090451526
t1_parietal_nc_ratio,446.0,0.005370930763863425,0.013792927032869119,0.0,0.0,0.0,0.003058546328122675,0.1116808651181161
t1_occipital_ed_ratio,446.0,0.01521006230234352,0.029107514453659684,0.0,0.0,0.00018221424700475,0.016034419687172573,0.1873817828238606
t1_occipital_en_ratio,446.0,0.006185120135680588,0.018136455778733702,0.0,0.0,0.0,0.000448068476003225,0.1223017496023631
t1_occipital_nc_ratio,446.0,0.0034359025071202184,0.013316532341825353,0.0,0.0,0.0,0.0,0.1217866963084303
t2_global_nc_en_ratio,446.0,2.171480077692296,36.28587760400878,0.0,0.0939760685749274,0.3381509904930692,0.6398791832337388,766.6205357142857
t2_global_ed_en_ratio,446.0,13.066322092355492,69.77462488847297,0.0,1.3245607408947104,2.707677780157311,5.525543829853643,1188.9811320754718
t2_global_ed_total_ratio,446.0,0.6705566501833097,0.228214268957851,0.0016645985291002,0.5158550796918205,0.6859539084779183,0.8521084431632079,1.0
t2_tumor_burden_index,446.0,0.0597610394621159,0.036407421334297196,0.0006723673632466,0.030011238489809522,0.05624246846869095,0.08351861583347557,0.1778933796725072
t2_frontal_ed_ratio,446.0,0.0455412080981397,0.05252595521687177,0.0,0.007594933490983825,0.02654795625011975,0.06363732870469208,0.2462996076413456
t2_frontal_en_ratio,446.0,0.0130060941467554,0.018897506716626353,0.0,0.00021380751868155,0.0051542190442067995,0.017414671009033475,0.1074441458861739
t2_frontal_nc_ratio,446.0,0.008126383943054065,0.01814742420624472,0.0,0.0,0.0010165513482995,0.007449576720219725,0.2325481149614204
t2_temporal_ed_ratio,446.0,0.04580381641917305,0.0549566281086177,0.0,0.003585785461763275,0.0243329704980126,0.0684985674196215,0.3259336430269276
t2_temporal_en_ratio,446.0,0.014820583155844768,0.02169702714929896,0.0,0.0,0.0043687747587154505,0.0220829018077368,0.1177225295889067
t2_temporal_nc_ratio,446.0,0.008282941507267232,0.015959296104170292,0.0,0.0,0.00029642062943545,0.0092432410905744,0.1212486931923006
t2_parietal_ed_ratio,446.0,0.037325524737903695,0.05346022413651478,0.0,0.000651790847486325,0.0144878762247497,0.05182342435360648,0.3017473621192846
t2_parietal_en_ratio,446.0,0.010268590396537873,0.019060378619711393,0.0,0.0,5.2486338159237285e-05,0.013057330285240826,0.1075594027567746
t2_parietal_nc_ratio,446.0,0.005222632732768662,0.013367172886141875,0.0,0.0,0.0,0.0030215930051023,0.1114970051980263
t2_occipital_ed_ratio,446.0,0.014909649772170458,0.028289828600962973,0.0,0.0,0.0003341927069542,0.01530433042999205,0.1830437314360372
t2_occipital_en_ratio,446.0,0.006021019162275774,0.017547801063652935,0.0,0.0,0.0,0.000606601501372525,0.1175325821404353
t2_occipital_nc_ratio,446.0,0.003333296167461589,0.012906101526385503,0.0,0.0,0.0,0.0,0.1191022280471821
t1gd_global_nc_en_ratio,446.0,2.171480077692296,36.28587760400878,0.0,0.0939760685749274,0.3381509904930692,0.6398791832337388,766.6205357142857
t1gd_global_ed_en_ratio,446.0,13.066322092355492,69.77462488847297,0.0,1.3245607408947104,2.707677780157311,5.525543829853643,1188.9811320754718
t1gd_global_ed_total_ratio,446.0,0.6705566501833097,0.228214268957851,0.0016645985291002,0.5158550796918205,0.6859539084779183,0.8521084431632079,1.0
t1gd_tumor_burden_index,446.0,0.0597621542883308,0.03640646581382219,0.0006723673632466,0.030011238489809522,0.05624246846869095,0.08351861583347557,0.1778933796725072
t1gd_frontal_ed_ratio,446.0,0.04554465426758556,0.05252312967155718,0.0,0.007594933490983825,0.02654795625011975,0.06363732870469208,0.2462996076413456
t1gd_frontal_en_ratio,446.0,0.013002110684309589,0.018899855586590023,0.0,0.00021380751868155,0.0051542190442067995,0.017414671009033475,0.1074441458861739
