feature_a,feature_b,absolute_correlation
t1_global_nc_en_ratio,t2_global_nc_en_ratio,1.0
t1_global_ed_en_ratio,t2_global_ed_en_ratio,1.0
t1_global_ed_total_ratio,t2_global_ed_total_ratio,1.0
t1_global_ed_total_ratio,t1gd_global_ed_total_ratio,1.0
t2_global_ed_en_ratio,t1gd_global_ed_en_ratio,1.0
t1_global_ed_en_ratio,t1gd_global_ed_en_ratio,1.0
t2_global_nc_en_ratio,t1gd_global_nc_en_ratio,1.0
t1_global_nc_en_ratio,t1gd_global_nc_en_ratio,1.0
t2_global_ed_total_ratio,t1gd_global_ed_total_ratio,1.0
t2_occipital_ed_ratio,flair_occipital_ed_ratio,1.0
t2_occipital_nc_ratio,flair_occipital_nc_ratio,1.0
t1gd_occipital_en_ratio,flair_occipital_en_ratio,1.0
t2_occipital_en_ratio,flair_occipital_en_ratio,1.0
t2_parietal_ed_ratio,flair_parietal_ed_ratio,1.0
t2_parietal_nc_ratio,flair_parietal_nc_ratio,1.0
t2_parietal_en_ratio,flair_parietal_en_ratio,1.0
t2_frontal_en_ratio,flair_frontal_en_ratio,1.0
t2_frontal_nc_ratio,flair_frontal_nc_ratio,1.0
t2_temporal_ed_ratio,flair_temporal_ed_ratio,1.0
t1gd_global_nc_en_ratio,flair_global_nc_en_ratio,1.0
t1_global_nc_en_ratio,flair_global_nc_en_ratio,1.0
t2_global_nc_en_ratio,flair_global_nc_en_ratio,1.0
t1_global_ed_total_ratio,flair_global_ed_total_ratio,1.0
t2_global_ed_total_ratio,flair_global_ed_total_ratio,1.0
t1gd_global_ed_total_ratio,flair_global_ed_total_ratio,1.0
t2_tumor_burden_index,flair_tumor_burden_index,1.0
t2_frontal_ed_ratio,flair_frontal_ed_ratio,1.0
t1_global_ed_en_ratio,flair_global_ed_en_ratio,1.0
t2_global_ed_en_ratio,flair_global_ed_en_ratio,1.0
t1gd_global_ed_en_ratio,flair_global_ed_en_ratio,1.0
t2_occipital_nc_ratio,t1gd_occipital_nc_ratio,1.0
t2_occipital_en_ratio,t1gd_occipital_en_ratio,1.0
t2_temporal_en_ratio,flair_temporal_en_ratio,1.0
t2_temporal_nc_ratio,flair_temporal_nc_ratio,1.0
t1gd_occipital_nc_ratio,flair_occipital_nc_ratio,1.0
t1gd_tumor_burden_index,flair_tumor_burden_index,0.9999997912459866
