feature,feature_type,missing_before,missing_after,imputation_value
dominant_brain_lobe,categorical,1,0,frontal
global_nc_en_ratio,continuous,75,0,0.364943916706918
global_ed_en_ratio,continuous,75,0,2.97155916708989
global_ed_total_ratio,continuous,0,0,0.718846188086053
tumor_burden_index,continuous,0,0,0.056245548341055246
frontal_ed_ratio,continuous,7,0,0.779142795870225
frontal_en_ratio,continuous,7,0,0.16063116654386
frontal_nc_ratio,continuous,7,0,0.0353047837448669
temporal_ed_ratio,continuous,133,0,0.827534039334342
temporal_en_ratio,continuous,133,0,0.139918458117124
temporal_nc_ratio,continuous,133,0,0.0031370656370656
parietal_ed_ratio,continuous,128,0,0.915528214011839
parietal_en_ratio,continuous,128,0,0.06136004300949135
parietal_nc_ratio,continuous,128,0,0.0016732264081963499
occipital_ed_ratio,continuous,322,0,1.0
occipital_en_ratio,continuous,322,0,0.0
occipital_nc_ratio,continuous,322,0,0.0
