,count,mean,std,min,25%,50%,75%,max
global_nc_en_ratio,446.0,2.171480077692296,36.28587760400878,0.0,0.0939760685749274,0.3381509904930692,0.6398791832337388,766.6205357142857
global_ed_en_ratio,446.0,13.066322092355492,69.77462488847297,0.0,1.3245607408947104,2.707677780157311,5.525543829853643,1188.9811320754718
global_ed_total_ratio,446.0,0.6705566501833097,0.228214268957851,0.0016645985291002,0.5158550796918205,0.6859539084779183,0.8521084431632079,1.0
tumor_burden_index,446.0,0.06177670252492942,0.037644752617645626,0.000699463408555,0.03101426116062095,0.05813284311968175,0.08534413551088141,0.1829909969420353
frontal_ed_ratio,446.0,0.046777941080205006,0.05416507434975493,0.0,0.00741214888577915,0.02691792439750565,0.0657544998868453,0.2505330253776222
frontal_en_ratio,446.0,0.013418590885025273,0.01955596117763347,0.0,0.00016273604451795,0.0052781636282036,0.01820367284140275,0.1092073443645157
frontal_nc_ratio,446.0,0.008408088985368855,0.01873201238964543,0.0,0.0,0.0009619441051589,0.007895891247001425,0.2390883662518552
temporal_ed_ratio,446.0,0.045875046446058755,0.055239034438937844,0.0,0.00348779311948375,0.02414619965734905,0.06877682834994607,0.3255079919830207
temporal_en_ratio,446.0,0.014760444269171844,0.021899608788539925,0.0,0.0,0.00426978873039815,0.021521163703775527,0.1212229748270533
temporal_nc_ratio,446.0,0.008209357561320347,0.016070063850538902,0.0,0.0,0.0002231933830298,0.0090329131503247,0.1270745006236411
parietal_ed_ratio,446.0,0.03824607777524507,0.05526126435817433,0.0,0.00047607858724865,0.01348721194276775,0.053737397666467526,0.3169618190945572
parietal_en_ratio,446.0,0.010557083992983067,0.019821972579521157,0.0,0.0,7.467646145205779e-05,0.013482051340740325,0.1150433090451526
parietal_nc_ratio,446.0,0.005370930763863425,0.013792927032869119,0.0,0.0,0.0,0.003058546328122675,0.1116808651181161
occipital_ed_ratio,446.0,0.01521006230234352,0.029107514453659684,0.0,0.0,0.00018221424700475,0.016034419687172573,0.1873817828238606
occipital_en_ratio,446.0,0.006185120135680588,0.018136455778733702,0.0,0.0,0.0,0.000448068476003225,0.1223017496023631
occipital_nc_ratio,446.0,0.0034359025071202184,0.013316532341825353,0.0,0.0,0.0,0.0,0.1217866963084303
