number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5273912210082423,2026-05-19 12:03:23.997836,2026-05-19 12:03:26.476883,0 days 00:00:02.479047,0.5780093202212182,0.2904180608409973,0.2536999076681772,9,2,325,2.1423021757741068,0.10129197956845731,0.7993292420985183,COMPLETE
1,0.5286435371541754,2026-05-19 12:03:26.476946,2026-05-19 12:03:33.847977,0 days 00:00:07.371031,0.6061695553391381,0.9170225492671691,0.010725209743171996,10,2,525,0.0033205591037519565,0.042051564509138675,0.9162213204002109,COMPLETE
2,0.5808702319340618,2026-05-19 12:03:33.848035,2026-05-19 12:03:36.931929,0 days 00:00:03.083894,0.6460723242676091,2.28034992108518,0.02692655251486473,8,4,359,0.8431013932082461,0.0009962513222055108,0.569746930326021,COMPLETE
3,0.5952415181138585,2026-05-19 12:03:36.931980,2026-05-19 12:03:39.259374,0 days 00:00:02.327394,0.5852620618436457,4.7444276862666666,0.07500118950416987,4,1,409,6.732248920775331,1.1015056790269626,0.8037724259507192,COMPLETE
4,0.596528975784295,2026-05-19 12:03:39.259428,2026-05-19 12:03:42.465730,0 days 00:00:03.206302,0.5610191174223894,0.17194260557609198,0.013940346079873234,8,5,283,3.5204810455260365,0.0019674328025306126,0.7200762468698007,COMPLETE
5,0.5925388154111558,2026-05-19 12:03:42.465776,2026-05-19 12:03:45.340128,0 days 00:00:02.874352,0.5924272277627636,3.8756641168055728,0.028869220380495747,7,10,498,4.9830438374949075,2.9794544625913595,0.7733551396716398,COMPLETE
6,0.5575043128234618,2026-05-19 12:03:45.340174,2026-05-19 12:03:45.947904,0 days 00:00:00.607730,0.522613644455269,1.9433864484474102,0.22999586428143728,4,4,459,0.002273762810253686,1.3921548533046495,0.5979914312095727,PRUNED
7,0.6316848763657275,2026-05-19 12:03:45.947938,2026-05-19 12:03:46.388638,0 days 00:00:00.440700,0.9010984903770198,4.9344346830025865,0.026000059117302653,7,1,314,0.7264803074826727,0.0009853225172032562,0.5704621124873813,PRUNED
8,0.6279470960322024,2026-05-19 12:03:46.388669,2026-05-19 12:03:46.574604,0 days 00:00:00.185935,0.8856351733429728,1.7923286427213632,0.1601531217136121,8,1,103,0.00037961668958008145,2.0678409397839492,0.8645035840204937,PRUNED
9,0.5867133090537345,2026-05-19 12:03:46.574633,2026-05-19 12:03:49.482641,0 days 00:00:02.908008,0.6625916610133735,3.1877873567760657,0.030816017044468066,4,8,474,2.7293781650374753,0.022965432344634346,0.6554911608578311,COMPLETE
10,0.6414606095457159,2026-05-19 12:03:49.482688,2026-05-19 12:03:50.901435,0 days 00:00:01.418747,0.7680942943488798,0.07563407956692322,0.010206070557577008,6,7,668,0.1168990811462345,0.00017256875961834048,0.6889757749826013,PRUNED
11,0.6394479585968948,2026-05-19 12:03:50.901463,2026-05-19 12:03:51.170390,0 days 00:00:00.268927,0.7348121050481814,4.701094966422985,0.09007338600703146,5,5,191,0.10862289420171278,0.005089885901936415,0.7252583081139429,PRUNED
12,0.5,2026-05-19 12:03:51.170418,2026-05-19 12:03:51.460852,0 days 00:00:00.290434,0.5136838498519677,3.138214726279749,0.06537469750813098,6,7,233,8.94801665355767,0.5002488288570663,0.9979530451829521,PRUNED
13,0.5468660149511213,2026-05-19 12:03:51.460880,2026-05-19 12:03:51.875011,0 days 00:00:00.414131,0.7084623041637503,1.2077746649016994,0.09154387249271213,9,3,236,0.2761515974037503,0.2676227571454768,0.8091756974595518,PRUNED
14,0.6336975273145486,2026-05-19 12:03:51.875039,2026-05-19 12:03:52.730141,0 days 00:00:00.855102,0.8155421717694825,4.076326471925866,0.04316562549151683,6,6,632,0.017128961338583753,0.00709762968090618,0.5069702231234476,PRUNED
15,0.5,2026-05-19 12:03:52.730169,2026-05-19 12:03:53.187695,0 days 00:00:00.457526,0.506100656510673,2.9766926739811996,0.017171744399848882,5,10,394,9.912381304573636,7.697192144784911,0.872695752069157,PRUNED
16,0.6250718803910293,2026-05-19 12:03:53.187722,2026-05-19 12:03:54.012322,0 days 00:00:00.824600,0.6639926607342311,0.985270281929936,0.11797232131853443,10,5,592,1.2079280144639786,0.00011638474835594288,0.7249589099490502,PRUNED
17,0.5861957702383234,2026-05-19 12:03:54.012351,2026-05-19 12:03:55.865387,0 days 00:00:01.853036,0.5624983578731706,4.0699685278891575,0.052895720277906504,8,3,265,0.06369775618783455,0.0015477330908143724,0.6459480087224699,COMPLETE
18,0.5729298447383554,2026-05-19 12:03:55.865433,2026-05-19 12:03:57.543050,0 days 00:00:01.677617,0.8020792747505996,1.573034951676771,0.01633944523707526,5,8,149,0.02012683662461886,0.009919122221659409,0.8333784157874995,COMPLETE
19,0.6152961472110408,2026-05-19 12:03:57.543096,2026-05-19 12:03:58.096348,0 days 00:00:00.553252,0.6943869069870374,2.688131205428546,0.04302553031342478,9,3,425,0.5654165216348318,0.20754071299882865,0.9510169645090225,PRUNED
20,0.6308223116733755,2026-05-19 12:03:58.096376,2026-05-19 12:03:58.784914,0 days 00:00:00.688538,0.964051434116436,3.6719553329466006,0.14780399716178413,7,6,575,0.00011431541785080484,0.00038495659641857245,0.754163475771782,PRUNED
21,0.5925388154111558,2026-05-19 12:03:58.784942,2026-05-19 12:04:01.696366,0 days 00:00:02.911424,0.599264035990741,4.4100307159122885,0.017429082404149393,7,10,489,3.717642135537067,8.874292678571463,0.7609954813701713,COMPLETE
22,0.5904111558366878,2026-05-19 12:04:01.696415,2026-05-19 12:04:04.027755,0 days 00:00:02.331340,0.5588374240080011,3.8398692505753265,0.02147490516175628,8,9,401,5.4886036938975336,2.057007542844896,0.781727809593727,COMPLETE
23,0.5766324835473772,2026-05-19 12:04:04.027800,2026-05-19 12:04:07.259507,0 days 00:00:03.231707,0.6326537789436381,4.51362845462662,0.03625421859651004,7,9,535,0.2665266520810047,0.8877574769743454,0.693206612888742,COMPLETE
24,0.5760750111813941,2026-05-19 12:04:07.259637,2026-05-19 12:04:09.119135,0 days 00:00:01.859498,0.5502904221832455,3.597906537511615,0.06901270416383731,4,7,305,1.4903859107083277,3.9629313768031795,0.8501191485755071,COMPLETE
25,0.5882084211871447,2026-05-19 12:04:09.119181,2026-05-19 12:04:11.358956,0 days 00:00:02.239775,0.6123208767975096,4.33750342639951,0.01268236671278559,6,4,347,3.30585301176608,0.03811132716305817,0.9023139406293356,COMPLETE
26,0.6423231742380678,2026-05-19 12:04:11.359005,2026-05-19 12:04:11.924077,0 days 00:00:00.565072,0.6908532143896395,4.956738052990695,0.021256389391407268,9,2,438,0.2826850141346039,0.002892503039431854,0.717710798011912,PRUNED
27,0.5,2026-05-19 12:04:11.924104,2026-05-19 12:04:12.383339,0 days 00:00:00.459235,0.5340756653786141,3.4539057329498473,0.014242821173695921,5,9,388,9.474881978651853,0.11154942886684084,0.8155656933327262,PRUNED
28,0.5889160437032778,2026-05-19 12:04:12.383367,2026-05-19 12:04:15.480300,0 days 00:00:03.096933,0.5857436812209975,2.4702929230325177,0.05397518413836696,8,5,528,3.7513386846784385,0.7611192915990329,0.6455821353814579,COMPLETE
29,0.5652642003705834,2026-05-19 12:04:15.480349,2026-05-19 12:04:17.493322,0 days 00:00:02.012973,0.5861064778085511,2.773922714091569,0.039753582787329,9,1,303,1.8580546803490077,3.664292406537973,0.7743680852449464,COMPLETE
30,0.5824979234553702,2026-05-19 12:04:17.493378,2026-05-19 12:04:21.062483,0 days 00:00:03.569105,0.6318054083503389,0.6155467087603381,0.021208498259804812,7,8,355,0.007240219229336822,0.34476932228140944,0.6818899783166295,COMPLETE
31,0.6431857389304197,2026-05-19 12:04:21.062531,2026-05-19 12:04:21.629056,0 days 00:00:00.566525,0.5939218542683568,4.314581929953411,0.0173263915121404,7,10,477,4.3044159675865306,7.753006251880046,0.7657917411746711,PRUNED
32,0.6431857389304197,2026-05-19 12:04:21.629084,2026-05-19 12:04:22.228378,0 days 00:00:00.599294,0.6196457461898556,4.6575817454215205,0.01261835004085955,7,10,510,1.800947388641979,9.978655359453526,0.7843247207284021,PRUNED
33,0.5673918599450515,2026-05-19 12:04:22.228404,2026-05-19 12:04:25.701339,0 days 00:00:03.472935,0.5707067585872384,4.036030361841769,0.03017052971625457,10,9,573,0.5332444516333935,3.8685637793441594,0.7466573542814421,COMPLETE
34,0.6431857389304197,2026-05-19 12:04:25.701388,2026-05-19 12:04:26.277735,0 days 00:00:00.576347,0.6640253143746593,4.376677721123017,0.024589176221348052,8,10,497,5.343005451970891,0.1132536017578792,0.8137514985570806,PRUNED
35,0.6037952846463485,2026-05-19 12:04:26.277765,2026-05-19 12:04:27.354904,0 days 00:00:01.077139,0.5396094546874739,0.48427966469103334,0.013904980840053663,6,4,441,0.8970631839690735,0.01631468662628649,0.7500355840968638,PRUNED
36,0.6152961472110408,2026-05-19 12:04:27.354934,2026-05-19 12:04:28.008892,0 days 00:00:00.653958,0.6009040709563348,2.087124905867131,0.2538067452450863,8,2,552,2.362201346708804,1.4932908095947162,0.8801947991638123,PRUNED
37,0.5792377483866846,2026-05-19 12:04:28.008927,2026-05-19 12:04:31.015007,0 days 00:00:03.006080,0.5000548506876135,4.969776515103924,0.03404429341583893,4,8,486,0.001699579197446059,0.06117132401577691,0.611859241891793,COMPLETE
38,0.5760750111813941,2026-05-19 12:04:31.015055,2026-05-19 12:04:33.898697,0 days 00:00:02.883642,0.6425973238691047,3.3816470729642822,0.011294329196619065,7,6,379,0.4760531165724983,4.02527622253865,0.8329488471098817,COMPLETE
39,0.6431857389304197,2026-05-19 12:04:33.898771,2026-05-19 12:04:34.394827,0 days 00:00:00.496056,0.7369454672023286,4.729964290739439,0.024932845495376946,6,1,420,5.53364138024717,0.0006304186129091937,0.7071255808216009,PRUNED
40,0.5845313398504888,2026-05-19 12:04:34.394868,2026-05-19 12:04:35.548500,0 days 00:00:01.153632,0.5443208538253995,0.007250058963767625,0.07658001418705733,9,9,620,0.9369004836253354,0.8174203134153005,0.7964048912919537,PRUNED
41,0.6431857389304197,2026-05-19 12:04:35.548537,2026-05-19 12:04:36.080141,0 days 00:00:00.531604,0.567987585423151,3.7997489966629017,0.02093604100084687,8,10,459,5.509645470418503,1.4681264413048323,0.7800724275910952,PRUNED
42,0.5867308798159863,2026-05-19 12:04:36.080168,2026-05-19 12:04:37.916975,0 days 00:00:01.836807,0.5237307795465138,3.8954892889984367,0.01759123554748423,8,9,276,2.76706299599103,2.508094672866643,0.737581402116217,COMPLETE
43,0.6170212765957447,2026-05-19 12:04:37.917025,2026-05-19 12:04:38.390283,0 days 00:00:00.473258,0.6088435881640019,4.209775867986361,0.028093456723084404,8,10,410,7.177990649899062,2.4227904186349822,0.6771291535654584,PRUNED
44,0.5803303303303304,2026-05-19 12:04:38.390310,2026-05-19 12:04:41.521781,0 days 00:00:03.131471,0.5618410625341828,1.6101530790607053,0.021098944807931234,7,8,454,3.006675175917697,6.402003138374854,0.7952082790964439,COMPLETE
45,0.6374353076480737,2026-05-19 12:04:41.521830,2026-05-19 12:04:41.992393,0 days 00:00:00.470563,0.6627383328643943,3.2212447113530986,0.014918819922309718,9,9,345,1.499205379864834,0.6372636897443786,0.8390510330930067,PRUNED
46,0.6382978723404256,2026-05-19 12:04:41.992424,2026-05-19 12:04:42.248449,0 days 00:00:00.256025,0.5255910990904613,4.594248539920519,0.010934981301395136,8,7,182,5.346119588249314,1.5102962362562642,0.7695930111259079,PRUNED
47,0.5813654079611527,2026-05-19 12:04:42.248476,2026-05-19 12:04:46.151588,0 days 00:00:03.903112,0.5799226295463257,3.9728326865748222,0.1016977952254094,5,10,696,0.14686999749332252,4.758949899328032,0.735349294589304,COMPLETE
48,0.6431857389304197,2026-05-19 12:04:46.151638,2026-05-19 12:04:46.586614,0 days 00:00:00.434976,0.6818962697263994,4.774869480018878,0.19476582436567744,10,4,381,9.173351119361008,0.17236072726701243,0.7088006205778367,PRUNED
49,0.6296722254169063,2026-05-19 12:04:46.586642,2026-05-19 12:04:46.779599,0 days 00:00:00.192957,0.7761025258482941,3.7595041037448196,0.018101218449719264,6,3,106,2.3507405305650475,0.4689644865755146,0.6655532704013648,PRUNED
