,count,mean,std,min,25%,50%,75%,max
global_nc_en_ratio,449.0,2.1569713021175145,36.1646142771477,0.0,0.0910075839653304,0.3375426306572034,0.6372633106815333,766.6205357142857
global_ed_en_ratio,449.0,12.979019272139308,69.54877685189345,0.0,1.2852016912352875,2.6944871749007264,5.503618711385702,1188.9811320754718
global_ed_total_ratio,449.0,0.6727578306943344,0.22903038610774562,0.0016645985291002,0.5161723498921247,0.6872677461276386,0.8546225953257303,1.0
tumor_burden_index,449.0,0.05956661675407212,0.03636774082501286,0.0006723673632466,0.0299690751381561,0.0555467438072291,0.0826777623769224,0.1778933796725072
frontal_ed_ratio,449.0,0.0453691074111191,0.052405661480011294,0.0,0.0075371293764409,0.0265404831626355,0.0632122655597382,0.2462996076413456
frontal_en_ratio,449.0,0.012915236893545828,0.018866293927013163,0.0,0.0002032051304129,0.0050744316041943,0.0173364820503167,0.1074441458861739
frontal_nc_ratio,449.0,0.008071381309897324,0.018099008043837607,0.0,0.0,0.0009202481936712,0.0074289419678897,0.2325481149614204
temporal_ed_ratio,449.0,0.04603630050602655,0.05502451602959238,0.0,0.0034952021079667,0.0244579650316735,0.0685693593165327,0.3259336430269276
temporal_en_ratio,449.0,0.014694449456160222,0.02166845251791403,0.0,0.0,0.0041215737837564,0.0220345244407809,0.1177225295889067
temporal_nc_ratio,449.0,0.00821714203364437,0.0159239771747313,0.0,0.0,0.0002443277386567,0.009166319057601,0.1212486931923006
parietal_ed_ratio,449.0,0.037106269378489015,0.053373680300336505,0.0,0.000548138157392,0.0140318822430482,0.0518955323712798,0.3017473621192846
parietal_en_ratio,449.0,0.010236659134696707,0.01907417186517409,0.0,0.0,5.058523222512763e-05,0.012589687171147,0.1075594027567746
parietal_nc_ratio,449.0,0.005203872410775438,0.013351466401222464,0.0,0.0,0.0,0.0029397374050246,0.1114970051980263
occipital_ed_ratio,449.0,0.014797645969344285,0.028226441803416706,0.0,0.0,0.0002902558473359,0.0151835828197925,0.1830437314360372
occipital_en_ratio,449.0,0.005980789635579053,0.017495841324265012,0.0,0.0,0.0,0.0005839659631267,0.1175325821404353
occipital_nc_ratio,449.0,0.00331102470086385,0.012865689080308773,0.0,0.0,0.0,0.0,0.1191022280471821
