number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5450146955466104,2026-05-19 12:01:49.375980,2026-05-19 12:01:51.895020,0 days 00:00:02.519040,0.5780093202212182,0.2904180608409973,0.2536999076681772,9,2,325,2.1423021757741068,0.10129197956845731,0.7993292420985183,COMPLETE
1,0.5319212829851128,2026-05-19 12:01:51.895088,2026-05-19 12:01:58.973984,0 days 00:00:07.078896,0.6061695553391381,0.9170225492671691,0.010725209743171996,10,2,525,0.0033205591037519565,0.042051564509138675,0.9162213204002109,COMPLETE
2,0.58234777330522,2026-05-19 12:01:58.974048,2026-05-19 12:02:02.313434,0 days 00:00:03.339386,0.6460723242676091,2.28034992108518,0.02692655251486473,8,4,359,0.8431013932082461,0.0009962513222055108,0.569746930326021,COMPLETE
3,0.5952415181138585,2026-05-19 12:02:02.313485,2026-05-19 12:02:04.825131,0 days 00:00:02.511646,0.5852620618436457,4.7444276862666666,0.07500118950416987,4,1,409,6.732248920775331,1.1015056790269626,0.8037724259507192,COMPLETE
4,0.5950514344131366,2026-05-19 12:02:04.825178,2026-05-19 12:02:08.197105,0 days 00:00:03.371927,0.5610191174223894,0.17194260557609198,0.013940346079873234,8,5,283,3.5204810455260365,0.0019674328025306126,0.7200762468698007,COMPLETE
5,0.5918886972078462,2026-05-19 12:02:08.197149,2026-05-19 12:02:11.339615,0 days 00:00:03.142466,0.5924272277627636,3.8756641168055728,0.028869220380495747,7,10,498,4.9830438374949075,2.9794544625913595,0.7733551396716398,COMPLETE
6,0.5816561242093157,2026-05-19 12:02:11.339695,2026-05-19 12:02:11.959183,0 days 00:00:00.619488,0.522613644455269,1.9433864484474102,0.22999586428143728,4,4,459,0.002273762810253686,1.3921548533046495,0.5979914312095727,PRUNED
7,0.5714746661555172,2026-05-19 12:02:11.959217,2026-05-19 12:02:14.219841,0 days 00:00:02.260624,0.9010984903770198,4.9344346830025865,0.026000059117302653,7,1,314,0.7264803074826727,0.0009853225172032562,0.5704621124873813,COMPLETE
8,0.5738930419781484,2026-05-19 12:02:14.219887,2026-05-19 12:02:14.405761,0 days 00:00:00.185874,0.8856351733429728,1.7923286427213632,0.1601531217136121,8,1,103,0.00037961668958008145,2.0678409397839492,0.8645035840204937,PRUNED
9,0.5873634272570444,2026-05-19 12:02:14.405788,2026-05-19 12:02:17.599220,0 days 00:00:03.193432,0.6625916610133735,3.1877873567760657,0.030816017044468066,4,8,474,2.7293781650374753,0.022965432344634346,0.6554911608578311,COMPLETE
