feature,importance
frontal_en_ratio,-0.043382352941176504
occipital_en_ratio,-0.029411764705882377
parietal_ed_ratio,-0.02132352941176474
parietal_en_ratio,-0.020588235294117685
global_ed_en_ratio,-0.020588235294117675
occipital_nc_ratio,-0.015441176470588269
temporal_en_ratio,-0.010294117647058848
global_ed_total_ratio,-0.0022058823529412077
temporal_ed_ratio,-0.002205882352941202
occipital_ed_ratio,0.0007352941176470229
tumor_burden_index,0.0022058823529411465
temporal_nc_ratio,0.008823529411764678
frontal_ed_ratio,0.013970588235294087
frontal_nc_ratio,0.02647058823529409
global_nc_en_ratio,0.036029411764705845
parietal_nc_ratio,0.041176470588235266
