number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.42320759203511626,2026-05-02 12:50:34.893825,2026-05-02 12:50:41.363657,0 days 00:00:06.469832,0.8006459279932496,0.7674095205372927,0.010162700423540406,4,1,366,0.012337351399108949,1.5354122640944197,0.8706153377044642,COMPLETE
1,0.46872808206474437,2026-05-02 12:50:41.363712,2026-05-02 12:50:44.710267,0 days 00:00:03.346555,0.7053458199191038,4.578820569360548,0.23583280395251557,8,1,654,0.00014761750735998666,1.5800550282737984,0.8371949199622694,COMPLETE
2,0.46948086535123396,2026-05-02 12:50:44.710316,2026-05-02 12:50:48.176794,0 days 00:00:03.466478,0.5199190692215665,3.573592868983279,0.026082894169430885,3,18,487,3.4161329740425113,0.0008664789912686088,0.6940335713863887,COMPLETE
3,0.46828075882305387,2026-05-02 12:50:48.176837,2026-05-02 12:50:52.179753,0 days 00:00:04.002916,0.689418470838609,2.59449448272097,0.011442451043686477,5,9,349,1.6430687569726983,2.810744776780633,0.6706756952397153,COMPLETE
4,0.4351287611818922,2026-05-02 12:50:52.179801,2026-05-02 12:50:55.812338,0 days 00:00:03.632537,0.9584110297380364,4.39894807270621,0.09929827534237808,7,10,270,0.0001414548594095811,0.004444919735855391,0.5838365484945616,COMPLETE
5,0.36056269706524374,2026-05-02 12:50:55.812389,2026-05-02 12:50:56.037949,0 days 00:00:00.225560,0.626757436749974,1.7329403738567257,0.15056499548557997,6,17,639,0.7199878824528269,0.06482138721500229,0.903317434940923,PRUNED
6,0.38093621149648316,2026-05-02 12:50:56.037985,2026-05-02 12:50:57.970757,0 days 00:00:01.932772,0.5940058286893608,4.054057988317018,0.02665502057697921,6,8,616,0.0016295387965434124,0.17626913728341712,0.8944800805405113,PRUNED
7,0.45092340275102677,2026-05-02 12:50:57.970788,2026-05-02 12:51:02.564522,0 days 00:00:04.593734,0.5714376118985376,0.5604895017466621,0.01362978681956202,7,19,100,0.004754866825446974,5.656016996422555,0.8613310589961805,PRUNED
8,0.45870641974956367,2026-05-02 12:51:02.564554,2026-05-02 12:51:04.850489,0 days 00:00:02.285935,0.9831829919452585,4.2333968494301395,0.10810556855631598,6,9,374,0.00020413205772174366,0.6288110832586545,0.6333656743391283,PRUNED
9,0.37697469480151985,2026-05-02 12:51:04.850521,2026-05-02 12:51:04.916718,0 days 00:00:00.066197,0.740267106363534,4.490884657490339,0.010053069282276913,5,20,613,0.0004760446461756741,0.00014456481562729928,0.7899952699310278,PRUNED
10,0.46094120500492214,2026-05-02 12:51:04.916752,2026-05-02 12:51:10.024787,0 days 00:00:05.108035,0.5147337946039079,3.0322390503096557,0.04132949773148354,3,15,508,0.1583607568628796,0.002470467297871002,0.7092987479357851,COMPLETE
11,0.4841661554265169,2026-05-02 12:51:10.024837,2026-05-02 12:51:10.186796,0 days 00:00:00.161959,0.8559610257613437,3.430305198888086,0.28725032911724113,8,1,505,0.08789485815463152,0.00013833222430044656,0.775687946662355,COMPLETE
12,0.37697469480151985,2026-05-02 12:51:10.186841,2026-05-02 12:51:10.610044,0 days 00:00:00.423203,0.8512979918274448,3.3765037739484782,0.027030899493243506,3,5,478,9.753029264504702,0.00010180196596336944,0.9927482138576798,PRUNED
13,0.4099846390168971,2026-05-02 12:51:10.610075,2026-05-02 12:51:10.860854,0 days 00:00:00.250779,0.855292854763414,1.784947873063972,0.06603575357474993,8,14,533,0.06958418398065906,0.000687097703479895,0.7507343429668423,PRUNED
14,0.37697469480151985,2026-05-02 12:51:10.860887,2026-05-02 12:51:11.721183,0 days 00:00:00.860296,0.9139421477580707,3.383164821275961,0.25177139047374925,4,13,460,7.811507344220356,0.009592393703555158,0.5526971282955642,PRUNED
15,0.48004185035644137,2026-05-02 12:51:11.721214,2026-05-02 12:51:30.709220,0 days 00:00:18.988006,0.8090285080048502,3.617627794213458,0.023311723634645006,4,4,254,0.35185570320797005,0.0006262219291939005,0.748058867617032,COMPLETE
16,0.38121109224674593,2026-05-02 12:51:30.709268,2026-05-02 12:51:31.927940,0 days 00:00:01.218672,0.8164830037226484,2.1036032846732895,0.04127163881960828,4,4,219,0.4014375328125477,0.00047511686623497045,0.5000061005936701,PRUNED
17,0.39319265906702244,2026-05-02 12:51:31.927969,2026-05-02 12:51:32.034292,0 days 00:00:00.106323,0.9073303178154434,2.7062933685594373,0.016928902782623764,7,5,270,0.04565342707396073,0.012377252384731635,0.7758591297417884,PRUNED
18,0.38923114237205914,2026-05-02 12:51:32.034325,2026-05-02 12:51:32.083031,0 days 00:00:00.048706,0.7780431220993747,4.984177908231628,0.062123268004059255,5,3,140,0.12487896729048716,0.0003332402905445781,0.9696874125626317,PRUNED
19,0.3741450400194033,2026-05-02 12:51:32.083062,2026-05-02 12:51:32.332484,0 days 00:00:00.249422,0.8906208056714116,3.786890554754332,0.020063253804192327,8,7,291,0.015208991141201913,0.0016154665680024178,0.8135532980557464,PRUNED
20,0.33810332282318695,2026-05-02 12:51:32.332517,2026-05-02 12:51:32.409844,0 days 00:00:00.077327,0.66963490300813,1.2369777996236642,0.1570294245647062,4,2,425,0.5138078796185976,0.00021450989548281191,0.7207852204341889,PRUNED
21,0.37697469480151985,2026-05-02 12:51:32.409874,2026-05-02 12:51:32.487375,0 days 00:00:00.077501,0.7455166362620222,3.682418300251302,0.028854911124670563,3,12,568,2.6713679083696698,0.0009133418107075047,0.7028977250568378,PRUNED
22,0.37697469480151985,2026-05-02 12:51:32.487405,2026-05-02 12:51:32.569487,0 days 00:00:00.082082,0.5148084793005056,3.115187846865994,0.040532830232283136,3,6,428,2.193117568109668,0.004122400076743137,0.6480426151453196,PRUNED
23,0.4619935987977534,2026-05-02 12:51:32.569520,2026-05-02 12:51:38.481741,0 days 00:00:05.912221,0.8538444959809787,3.7633331487362307,0.0184007841757229,4,17,552,0.26405408890821785,0.0010682317140364194,0.7507515343284384,COMPLETE
24,0.4463901689708142,2026-05-02 12:51:38.481796,2026-05-02 12:51:38.599432,0 days 00:00:00.117636,0.7899898512075653,2.867958984219887,0.08324002431045284,5,3,218,1.6306805823376194,0.020094532096438664,0.6035192214231933,PRUNED
