fold,balanced_accuracy,quadratic_kappa,macro_f1
1,0.44276094276094274,0.5017182130584192,0.44988344988344986
2,0.4716209716209716,0.33224755700325737,0.46873706004140786
3,0.43883572567783097,0.23849643551523003,0.4221551868610692
4,0.4124401913875599,0.06349206349206349,0.4090757424090758
5,0.46116427432216905,0.22997946611909648,0.4492853982726451
6,0.4425925925925926,0.1617357001972386,0.44413570925198825
7,0.42037037037037034,0.08716136631330984,0.4178921568627451
8,0.5425925925925926,0.5007132667617689,0.5483405483405484
9,0.5074074074074074,0.4222361024359774,0.4991552956465237
10,0.3462962962962963,0.09117137911136752,0.33389926428975664
