feature,importance
dominant_brain_lobe_parietal,0.0
dominant_brain_lobe_occipital,0.0
temporal_nc_ratio,0.057583027
dominant_brain_lobe_temporal,0.057606194
occipital_ed_ratio,0.058222044
parietal_ed_ratio,0.059035614
frontal_nc_ratio,0.059276745
temporal_ed_ratio,0.061922215
parietal_nc_ratio,0.06243125
occipital_nc_ratio,0.06302306
dominant_brain_lobe_frontal,0.06526132
global_ed_total_ratio,0.0656456
global_ed_en_ratio,0.065749235
tumor_burden_index,0.069484346
global_nc_en_ratio,0.06977968
frontal_en_ratio,0.08513583
frontal_ed_ratio,0.09984397
