,count,mean,std,min,25%,50%,75%,max
global_nc_en_ratio,500.0,0.0026042217305147176,0.04470265298135062,0.0,0.000201987570525725,0.0004760424482588,0.000777563617868475,1.0
global_ed_en_ratio,500.0,0.004592655573566697,0.059754028777023335,0.0,0.0001218655059752,0.0001872656588758,0.00033912165955497504,1.0
global_ed_total_ratio,500.0,0.7022902295621258,0.23737364210727518,0.0,0.5340287585728591,0.718377399519532,0.9262783512062724,1.0
tumor_burden_index,500.0,0.2763221797024728,0.18903472403787228,0.0,0.12128325020132735,0.25183379425296676,0.38933636936830074,1.0
frontal_ed_ratio,500.0,0.723154212037351,0.2578592354818584,0.0,0.5474901190361627,0.7783079978338606,0.9786047872625601,1.0
frontal_en_ratio,500.0,0.23124744284341575,0.2111097916802897,0.0,0.0246911597132438,0.2062992033379095,0.36281756496978834,1.0
frontal_nc_ratio,500.0,0.12797048428451416,0.17789266432129824,0.0,0.0,0.0473592999964926,0.198167772398704,1.0
temporal_ed_ratio,500.0,0.7605210934582307,0.24986202584735015,0.0,0.6416345457399153,0.827534039334342,0.989848309764071,1.0
temporal_nc_ratio,500.0,0.056290465789562844,0.11253269658088237,0.0,0.0,0.0031370656370656,0.0686605915800919,1.0
parietal_ed_ratio,500.0,0.8222928116773675,0.22982653974344358,0.0,0.730942700610686,0.915528214011839,1.0,1.0
parietal_nc_ratio,500.0,0.05096242676203862,0.11386487539024884,0.0,0.0,0.0016732264081963,0.04227118940129632,1.0
occipital_ed_ratio,500.0,0.9403861597972868,0.17384414162659098,0.0,1.0,1.0,1.0,1.0
occipital_nc_ratio,500.0,0.01830699250881041,0.07937926011962422,0.0,0.0,0.0,0.0,1.0
dominant_brain_lobe_frontal,500.0,0.648,0.4780722813680216,0.0,0.0,1.0,1.0,1.0
dominant_brain_lobe_occipital,500.0,0.004,0.06318214912406725,0.0,0.0,0.0,0.0,1.0
dominant_brain_lobe_parietal,500.0,0.186,0.38949636048320063,0.0,0.0,0.0,0.0,1.0
dominant_brain_lobe_temporal,500.0,0.162,0.3688198152380434,0.0,0.0,0.0,0.0,1.0
